,State,Year,Month,Indicator,Data_Value,Percent_Complete,Percent_Pending_Investigation,Predicted_Value
100,AK,2015,May,Number of Drug Overdose Deaths,125.0,100,0.0,125.0
101,AK,2015,May,Psychostimulants with abuse potential (T43.6),,100,0.0,
102,AK,2015,May,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0.0,
103,AK,2015,May,Methadone (T40.3),,100,0.0,
104,AK,2015,May,"Synthetic opioids, excl. methadone (T40.4)",,100,0.0,
105,AK,2015,May,Heroin (T40.1),,100,0.0,
106,AK,2015,May,"Opioids (T40.0-T40.4,T40.6)",,100,0.0,
107,AK,2015,May,Cocaine (T40.5),,100,0.0,
108,AK,2015,November,Cocaine (T40.5),,100,0.0,
109,AK,2015,November,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",64.0,100,0.0,64.0
110,AK,2015,November,Natural & semi-synthetic opioids (T40.2),48.0,100,0.0,48.0
111,AK,2015,November,Psychostimulants with abuse potential (T43.6),26.0,100,0.0,27.0
112,AK,2015,November,Number of Deaths,4219.0,100,0.0,
113,AK,2015,November,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",54.0,100,0.0,54.0
114,AK,2015,November,"Synthetic opioids, excl. methadone (T40.4)",15.0,100,0.0,15.0
115,AK,2015,November,Number of Drug Overdose Deaths,115.0,100,0.0,115.0
116,AK,2015,November,Methadone (T40.3),10.0,100,0.0,11.0
117,AK,2015,November,Percent with drugs specified,90.4347826086957,100,0.0,
118,AK,2015,November,Heroin (T40.1),34.0,100,0.0,34.0
119,AK,2015,November,"Opioids (T40.0-T40.4,T40.6)",79.0,100,0.0,79.0
120,AK,2015,October,Cocaine (T40.5),,100,0.0,
121,AK,2015,October,"Synthetic opioids, excl. methadone (T40.4)",17.0,100,0.0,17.0
122,AK,2015,October,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",66.0,100,0.0,66.0
123,AK,2015,October,Number of Drug Overdose Deaths,120.0,100,0.0,120.0
124,AK,2015,October,Number of Deaths,4241.0,100,0.0,
125,AK,2015,October,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",55.0,100,0.0,55.0
126,AK,2015,October,Heroin (T40.1),39.0,100,0.0,39.0
127,AK,2015,October,Percent with drugs specified,90.0,100,0.0,
128,AK,2015,October,"Opioids (T40.0-T40.4,T40.6)",86.0,100,0.0,86.0
129,AK,2015,October,Natural & semi-synthetic opioids (T40.2),49.0,100,0.0,49.0
130,AK,2015,October,Psychostimulants with abuse potential (T43.6),27.0,100,0.0,28.0
131,AK,2015,October,Methadone (T40.3),10.0,100,0.0,11.0
132,AK,2015,September,Number of Drug Overdose Deaths,125.0,100,0.0,125.0
133,AK,2015,September,Number of Deaths,4242.0,100,0.0,
134,AK,2015,September,"Synthetic opioids, excl. methadone (T40.4)",,100,0.0,
135,AK,2015,September,Cocaine (T40.5),,100,0.0,
136,AK,2015,September,Natural & semi-synthetic opioids (T40.2),,100,0.0,
137,AK,2015,September,"Opioids (T40.0-T40.4,T40.6)",,100,0.0,
138,AK,2015,September,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,100,0.0,
139,AK,2015,September,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,100,0.0,
140,AK,2015,September,Percent with drugs specified,88.0,100,0.0,
141,AK,2015,September,Methadone (T40.3),,100,0.0,
142,AK,2015,September,Heroin (T40.1),,100,0.0,
143,AK,2015,September,Psychostimulants with abuse potential (T43.6),,100,0.0,
144,AK,2016,April,Heroin (T40.1),,,0.0,
145,AK,2016,April,Methadone (T40.3),,,0.0,
146,AK,2016,April,Cocaine (T40.5),,,0.0,
147,AK,2016,April,Natural & semi-synthetic opioids (T40.2),,,0.0,
148,AK,2016,April,Number of Deaths,4262.0,,0.0,
149,AK,2016,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,,0.0,
150,AK,2016,April,"Opioids (T40.0-T40.4,T40.6)",,,0.0,
151,AK,2016,April,Percent with drugs specified,93.9393939393939,,0.0,
152,AK,2016,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,,0.0,
153,AK,2016,April,Number of Drug Overdose Deaths,132.0,,0.0,132.0
154,AK,2016,April,"Synthetic opioids, excl. methadone (T40.4)",,,0.0,
155,AK,2016,April,Psychostimulants with abuse potential (T43.6),,,0.0,
156,AK,2016,August,Number of Drug Overdose Deaths,138.0,,0.023386342376052,138.0
157,AK,2016,August,Percent with drugs specified,96.3768115942029,,0.023386342376052,
158,AK,2016,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,,0.023386342376052,
159,AK,2016,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,,0.023386342376052,
160,AK,2016,August,"Opioids (T40.0-T40.4,T40.6)",,,0.023386342376052,
161,AK,2016,August,Cocaine (T40.5),,,0.023386342376052,
162,AK,2016,August,Natural & semi-synthetic opioids (T40.2),,,0.023386342376052,
163,AK,2016,August,Heroin (T40.1),,,0.023386342376052,
164,AK,2016,August,Methadone (T40.3),,,0.023386342376052,
165,AK,2016,August,Number of Deaths,4276.0,,0.023386342376052,
166,AK,2016,August,"Synthetic opioids, excl. methadone (T40.4)",,,0.023386342376052,
167,AK,2016,August,Psychostimulants with abuse potential (T43.6),,,0.023386342376052,
168,AK,2016,December,"Synthetic opioids, excl. methadone (T40.4)",,,0.068886337543054,
169,AK,2016,December,Number of Drug Overdose Deaths,129.0,,0.068886337543054,130.0
170,AK,2016,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,,0.068886337543054,
171,AK,2016,December,Heroin (T40.1),,,0.068886337543054,
172,AK,2016,December,Natural & semi-synthetic opioids (T40.2),,,0.068886337543054,
173,AK,2016,December,Percent with drugs specified,99.2248062015504,,0.068886337543054,
174,AK,2016,December,Number of Deaths,4355.0,,0.068886337543054,
175,AK,2016,December,Psychostimulants with abuse potential (T43.6),,,0.068886337543054,
176,AK,2016,December,Methadone (T40.3),,,0.068886337543054,
177,AK,2016,December,Cocaine (T40.5),,,0.068886337543054,
178,AK,2016,December,"Opioids (T40.0-T40.4,T40.6)",,,0.068886337543054,
179,AK,2016,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,,0.068886337543054,
180,AK,2016,February,Heroin (T40.1),,,0.0,
181,AK,2016,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,,0.0,
182,AK,2016,February,Psychostimulants with abuse potential (T43.6),,,0.0,
183,AK,2016,February,Cocaine (T40.5),,,0.0,
184,AK,2016,February,Methadone (T40.3),,,0.0,
185,AK,2016,February,Natural & semi-synthetic opioids (T40.2),,,0.0,
186,AK,2016,February,Number of Deaths,4198.0,,0.0,
187,AK,2016,February,"Opioids (T40.0-T40.4,T40.6)",,,0.0,
188,AK,2016,February,Percent with drugs specified,91.40625,,0.0,
189,AK,2016,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,,0.0,
190,AK,2016,February,Number of Drug Overdose Deaths,128.0,,0.0,128.0
191,AK,2016,February,"Synthetic opioids, excl. methadone (T40.4)",,,0.0,
192,AK,2016,January,"Synthetic opioids, excl. methadone (T40.4)",,,0.0,
193,AK,2016,January,"Opioids (T40.0-T40.4,T40.6)",,,0.0,
194,AK,2016,January,Psychostimulants with abuse potential (T43.6),,,0.0,
195,AK,2016,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,,0.0,
196,AK,2016,January,Number of Drug Overdose Deaths,126.0,,0.0,126.0
197,AK,2016,January,Heroin (T40.1),,,0.0,
198,AK,2016,January,Cocaine (T40.5),,,0.0,
199,AK,2016,January,Percent with drugs specified,90.4761904761905,,0.0,
200,AK,2016,January,Natural & semi-synthetic opioids (T40.2),,,0.0,
201,AK,2016,January,Number of Deaths,4213.0,,0.0,
202,AK,2016,January,Methadone (T40.3),,,0.0,
203,AK,2016,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,,0.0,
204,AK,2016,July,Psychostimulants with abuse potential (T43.6),,,0.0,
205,AK,2016,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,,0.0,
206,AK,2016,July,Methadone (T40.3),,,0.0,
207,AK,2016,July,"Synthetic opioids, excl. methadone (T40.4)",,,0.0,
208,AK,2016,July,Cocaine (T40.5),,,0.0,
209,AK,2016,July,Number of Drug Overdose Deaths,143.0,,0.0,143.0
210,AK,2016,July,Heroin (T40.1),,,0.0,
211,AK,2016,July,Percent with drugs specified,96.5034965034965,,0.0,
212,AK,2016,July,Number of Deaths,4269.0,,0.0,
213,AK,2016,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,,0.0,
214,AK,2016,July,"Opioids (T40.0-T40.4,T40.6)",,,0.0,
215,AK,2016,July,Natural & semi-synthetic opioids (T40.2),,,0.0,
216,AK,2016,June,"Synthetic opioids, excl. methadone (T40.4)",,,0.0,
217,AK,2016,June,Number of Drug Overdose Deaths,138.0,,0.0,138.0
218,AK,2016,June,Cocaine (T40.5),,,0.0,
219,AK,2016,June,Percent with drugs specified,97.1014492753623,,0.0,
220,AK,2016,June,Natural & semi-synthetic opioids (T40.2),,,0.0,
221,AK,2016,June,Psychostimulants with abuse potential (T43.6),,,0.0,
222,AK,2016,June,Number of Deaths,4261.0,,0.0,
223,AK,2016,June,"Opioids (T40.0-T40.4,T40.6)",,,0.0,
224,AK,2016,June,Methadone (T40.3),,,0.0,
225,AK,2016,June,Heroin (T40.1),,,0.0,
226,AK,2016,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,,0.0,
227,AK,2016,June,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,,0.0,
228,AK,2016,March,Cocaine (T40.5),,,0.0,
229,AK,2016,March,Heroin (T40.1),,,0.0,
230,AK,2016,March,"Opioids (T40.0-T40.4,T40.6)",,,0.0,
231,AK,2016,March,Natural & semi-synthetic opioids (T40.2),,,0.0,
232,AK,2016,March,Number of Deaths,4230.0,,0.0,
233,AK,2016,March,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,,0.0,
234,AK,2016,March,Methadone (T40.3),,,0.0,
235,AK,2016,March,Percent with drugs specified,92.8,,0.0,
236,AK,2016,March,"Synthetic opioids, excl. methadone (T40.4)",,,0.0,
237,AK,2016,March,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,,0.0,
238,AK,2016,March,Number of Drug Overdose Deaths,125.0,,0.0,125.0
239,AK,2016,March,Psychostimulants with abuse potential (T43.6),,,0.0,
240,AK,2016,May,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,,0.0,
241,AK,2016,May,"Opioids (T40.0-T40.4,T40.6)",,,0.0,
242,AK,2016,May,Number of Drug Overdose Deaths,140.0,,0.0,140.0
243,AK,2016,May,Methadone (T40.3),,,0.0,
244,AK,2016,May,Psychostimulants with abuse potential (T43.6),,,0.0,
245,AK,2016,May,Number of Deaths,4241.0,,0.0,
246,AK,2016,May,Cocaine (T40.5),,,0.0,
247,AK,2016,May,"Synthetic opioids, excl. methadone (T40.4)",,,0.0,
248,AK,2016,May,Heroin (T40.1),,,0.0,
249,AK,2016,May,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,,0.0,
250,AK,2016,May,Percent with drugs specified,95.7142857142857,,0.0,
251,AK,2016,May,Natural & semi-synthetic opioids (T40.2),,,0.0,
252,AK,2016,November,"Opioids (T40.0-T40.4,T40.6)",,,0.069946374446258,
253,AK,2016,November,Natural & semi-synthetic opioids (T40.2),,,0.069946374446258,
254,AK,2016,November,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,,0.069946374446258,
255,AK,2016,November,Methadone (T40.3),,,0.069946374446258,
256,AK,2016,November,Number of Drug Overdose Deaths,133.0,,0.069946374446258,134.0
257,AK,2016,November,"Synthetic opioids, excl. methadone (T40.4)",,,0.069946374446258,
258,AK,2016,November,Heroin (T40.1),,,0.069946374446258,
259,AK,2016,November,Percent with drugs specified,97.7443609022556,,0.069946374446258,
260,AK,2016,November,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,,0.069946374446258,
261,AK,2016,November,Psychostimulants with abuse potential (T43.6),,,0.069946374446258,
262,AK,2016,November,Cocaine (T40.5),,,0.069946374446258,
263,AK,2016,November,Number of Deaths,4289.0,,0.069946374446258,
264,AK,2016,October,Number of Drug Overdose Deaths,131.0,,0.069913773013284,132.0
265,AK,2016,October,Heroin (T40.1),,,0.069913773013284,
266,AK,2016,October,Percent with drugs specified,96.9465648854962,,0.069913773013284,
267,AK,2016,October,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,,0.069913773013284,
268,AK,2016,October,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,,0.069913773013284,
269,AK,2016,October,"Opioids (T40.0-T40.4,T40.6)",,,0.069913773013284,
270,AK,2016,October,Cocaine (T40.5),,,0.069913773013284,
271,AK,2016,October,Natural & semi-synthetic opioids (T40.2),,,0.069913773013284,
272,AK,2016,October,Number of Deaths,4291.0,,0.069913773013284,
273,AK,2016,October,"Synthetic opioids, excl. methadone (T40.4)",,,0.069913773013284,
274,AK,2016,October,Methadone (T40.3),,,0.069913773013284,
275,AK,2016,October,Psychostimulants with abuse potential (T43.6),,,0.069913773013284,
276,AK,2016,September,Number of Drug Overdose Deaths,131.0,,0.046992481203008,132.0
277,AK,2016,September,"Opioids (T40.0-T40.4,T40.6)",,,0.046992481203008,
278,AK,2016,September,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,,0.046992481203008,
279,AK,2016,September,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,,0.046992481203008,
280,AK,2016,September,Heroin (T40.1),,,0.046992481203008,
281,AK,2016,September,Methadone (T40.3),,,0.046992481203008,
282,AK,2016,September,Cocaine (T40.5),,,0.046992481203008,
283,AK,2016,September,Natural & semi-synthetic opioids (T40.2),,,0.046992481203008,
284,AK,2016,September,Percent with drugs specified,96.9465648854962,,0.046992481203008,
285,AK,2016,September,"Synthetic opioids, excl. methadone (T40.4)",,,0.046992481203008,
286,AK,2016,September,Number of Deaths,4256.0,,0.046992481203008,
287,AK,2016,September,Psychostimulants with abuse potential (T43.6),,,0.046992481203008,
288,AK,2017,April,Methadone (T40.3),,,0.069364161849711,
289,AK,2017,April,Psychostimulants with abuse potential (T43.6),,,0.069364161849711,
290,AK,2017,April,"Opioids (T40.0-T40.4,T40.6)",,,0.069364161849711,
291,AK,2017,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,,0.069364161849711,
292,AK,2017,April,Cocaine (T40.5),,,0.069364161849711,
293,AK,2017,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,,0.069364161849711,
294,AK,2017,April,Number of Drug Overdose Deaths,117.0,,0.069364161849711,118.0
295,AK,2017,April,Heroin (T40.1),,,0.069364161849711,
296,AK,2017,April,Natural & semi-synthetic opioids (T40.2),,,0.069364161849711,
297,AK,2017,April,Number of Deaths,4325.0,,0.069364161849711,
298,AK,2017,April,"Synthetic opioids, excl. methadone (T40.4)",,,0.069364161849711,
299,AK,2017,April,Percent with drugs specified,97.4358974358974,,0.069364161849711,
300,AK,2017,August,Heroin (T40.1),,,0.04723665564478,
301,AK,2017,August,Methadone (T40.3),,,0.04723665564478,
302,AK,2017,August,Percent with drugs specified,97.0802919708029,,0.04723665564478,
303,AK,2017,August,Natural & semi-synthetic opioids (T40.2),,,0.04723665564478,
304,AK,2017,August,Number of Drug Overdose Deaths,137.0,,0.04723665564478,138.0
305,AK,2017,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,,0.04723665564478,
306,AK,2017,August,Cocaine (T40.5),,,0.04723665564478,
307,AK,2017,August,"Synthetic opioids, excl. methadone (T40.4)",,,0.04723665564478,
308,AK,2017,August,"Opioids (T40.0-T40.4,T40.6)",,,0.04723665564478,
309,AK,2017,August,Number of Deaths,4234.0,,0.04723665564478,
310,AK,2017,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,,0.04723665564478,
311,AK,2017,August,Psychostimulants with abuse potential (T43.6),,,0.04723665564478,
312,AK,2017,December,"Synthetic opioids, excl. methadone (T40.4)",,,0.0,
313,AK,2017,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,,0.0,
314,AK,2017,December,Psychostimulants with abuse potential (T43.6),,,0.0,
315,AK,2017,December,Methadone (T40.3),,,0.0,
316,AK,2017,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,,0.0,
317,AK,2017,December,Number of Drug Overdose Deaths,141.0,,0.0,141.0
318,AK,2017,December,Natural & semi-synthetic opioids (T40.2),,,0.0,
319,AK,2017,December,Heroin (T40.1),,,0.0,
320,AK,2017,December,Percent with drugs specified,97.1631205673759,,0.0,
321,AK,2017,December,"Opioids (T40.0-T40.4,T40.6)",,,0.0,
322,AK,2017,December,Number of Deaths,4279.0,,0.0,
323,AK,2017,December,Cocaine (T40.5),,,0.0,
324,AK,2017,February,"Opioids (T40.0-T40.4,T40.6)",,,0.069013112491373,
325,AK,2017,February,Percent with drugs specified,98.3870967741936,,0.069013112491373,
326,AK,2017,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,,0.069013112491373,
327,AK,2017,February,Heroin (T40.1),,,0.069013112491373,
328,AK,2017,February,Natural & semi-synthetic opioids (T40.2),,,0.069013112491373,
329,AK,2017,February,"Synthetic opioids, excl. methadone (T40.4)",,,0.069013112491373,
330,AK,2017,February,Number of Deaths,4347.0,,0.069013112491373,
331,AK,2017,February,Methadone (T40.3),,,0.069013112491373,
332,AK,2017,February,Cocaine (T40.5),,,0.069013112491373,
333,AK,2017,February,Psychostimulants with abuse potential (T43.6),,,0.069013112491373,
334,AK,2017,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,,0.069013112491373,
335,AK,2017,February,Number of Drug Overdose Deaths,124.0,,0.069013112491373,125.0
336,AK,2017,January,Number of Drug Overdose Deaths,126.0,,0.068587105624143,127.0
337,AK,2017,January,Natural & semi-synthetic opioids (T40.2),,,0.068587105624143,
338,AK,2017,January,Percent with drugs specified,99.2063492063492,,0.068587105624143,
339,AK,2017,January,"Opioids (T40.0-T40.4,T40.6)",,,0.068587105624143,
340,AK,2017,January,Psychostimulants with abuse potential (T43.6),,,0.068587105624143,
341,AK,2017,January,Heroin (T40.1),,,0.068587105624143,
342,AK,2017,January,Methadone (T40.3),,,0.068587105624143,
343,AK,2017,January,Cocaine (T40.5),,,0.068587105624143,
344,AK,2017,January,Number of Deaths,4374.0,,0.068587105624143,
345,AK,2017,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,,0.068587105624143,
346,AK,2017,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,,0.068587105624143,
347,AK,2017,January,"Synthetic opioids, excl. methadone (T40.4)",,,0.068587105624143,
348,AK,2017,July,"Synthetic opioids, excl. methadone (T40.4)",,,0.070821529745042,
349,AK,2017,July,Methadone (T40.3),,,0.070821529745042,
350,AK,2017,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,,0.070821529745042,
351,AK,2017,July,Percent with drugs specified,97.65625,,0.070821529745042,
352,AK,2017,July,Heroin (T40.1),,,0.070821529745042,
353,AK,2017,July,Cocaine (T40.5),,,0.070821529745042,
354,AK,2017,July,Natural & semi-synthetic opioids (T40.2),,,0.070821529745042,
355,AK,2017,July,Number of Drug Overdose Deaths,128.0,,0.070821529745042,129.0
356,AK,2017,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,,0.070821529745042,
